"Attr1","Attr2","Attr3","Attr4","Attr5","Attr6","Attr7","Attr8","Attr9","Attr10","Attr11","Attr12","Attr13","Attr14","Attr15","Attr16","Attr17","Attr18","Attr19","Attr20","Attr21","Attr22","Attr23","Attr24","Attr25","Attr26","Attr27","Attr28","Attr29","Attr30","Attr31","Attr32","Attr33","Attr34","Attr35","Attr36","Attr37","Attr38","Attr39","Attr40","Attr41","Attr42","Attr43","Attr44","Attr45","Attr46","Attr47","Attr48","Attr49","Attr50","Attr51","Attr52","Attr53","Attr54","Attr55","Attr56","Attr57","Attr58","Attr59","Attr60","Attr61","Attr62","Attr63","Attr64","class"
-0.05673,0.33853,0.35841,2.0587,-2.1246,8.5e-05,-0.055837,1.8962,0.93002,0.64191,-0.055837,-0.16494,-0.023959,-0.055837,-5336.2,-0.0684,2.954,-0.055837,-0.057776,137.48,0.6336,-0.068837,-0.0587,0.005451,0.64191,-0.071038,-0.66242,1.1827,5.3148,0.14522,-0.057776,118.91,3.0697,-0.20334,-0.068837,0.98354,NA,0.64191,-0.071227,0.58641,-0.30783,-0.071227,188.24,50.762,-0.15584,0.98344,127.86,-0.10152,-0.10504,2.0587,0.33853,0.32577,2.1181,2.1181,73989,-0.075247,-0.088377,1.0752,0,2.6549,7.1904,127.85,2.8549,3.189,0
0.13977,0.2442,0.61265,3.5088,68.087,0.36108,0.13977,3.0691,1.0847,0.74949,0.13977,0.57235,0.088896,0.13977,555.44,0.65714,4.095,0.13977,0.077426,60.431,1.1497,0.13049,0.077426,0.36108,0.74949,0.65714,0.78407,4.28,5.0193,0.067716,0.077426,53.558,6.815,0.53435,0.13049,1.8498,NA,0.74949,0.072285,0.51146,0.053101,0.072285,148,87.566,0.46764,2.2849,65.55,0.10978,0.060814,3.5088,0.2442,0.14673,5.2359,5.2359,64056,0.078085,0.18648,0.92192,0,6.0399,4.1683,49.376,7.3923,12.611,0
0.07568,0.38242,0.19714,1.5155,-60.811,0.1139,0.095371,1.609,1.2627,0.61531,0.095371,0.24939,0.081199,0.095371,1019.9,0.35788,2.6149,0.095371,0.056583,87.287,1.124,0.37251,0.044901,0.14431,0.61531,0.30639,2.7906,0.46891,4.7887,0.1847,0.056583,104.57,3.4906,0.97409,0.37251,1.7154,NA,0.61531,0.22101,0.21875,0.030369,0.22101,107.39,20.104,0.18776,0.46151,110.21,0.33102,0.1964,1.5155,0.38242,0.28649,1.4635,1.4635,12120,0.20802,0.123,0.79198,0,4.1816,18.155,82.815,4.4074,4.0089,0
0,0.57621,0.060261,1.1623,-2167,0.38146,0.044092,0.73546,2.1171,0.42379,0.068803,0.11877,0.036709,0.044092,2706.2,0.13487,1.7355,0.044092,0.020827,25.543,0.99946,0.068803,0,0.035859,0.38146,0.058353,2.7843,0.106,5.5672,0.25979,0.020827,77.243,4.7371,3.0521,0.062181,2.1171,1.3824,0.62875,0.029371,0.074573,0.18752,0.032499,69.622,44.079,0,0.76325,30.749,0.035179,0.016617,0.74887,0.37125,0.2111,0.74546,1.106,22243,0.17138,0,0.84236,0.48366,14.29,8.2806,64.005,5.7026,3.7241,0
0.11728,0.98304,-0.07167,0.91981,-88.994,-0.23696,0.11728,0.01725,1.7002,0.016957,0.16012,0.13121,0.13251,0.11728,1592.7,0.22917,1.0172,0.11728,0.068979,59.629,0.41081,0.16012,0.068979,-0.11969,-0.17051,0.22917,3.7372,-0.40287,3.001,0.52854,0.09037,204.57,1.7843,1.6222,0.10545,1.7002,6.0978,0.10623,0.062025,0.11472,0.12221,0.09418,154.48,94.85,0.42223,0.60905,63.572,0.052116,0.030653,0.83628,0.89377,0.56046,0.09532,0.59713,-71.842,0.062025,6.916,0.93338,5.2644,6.1212,3.8482,191.88,1.9022,9.5571,0
0.053467,0.28668,-0.077904,0.72826,-72.546,0.13531,0.066713,2.4751,1.0679,0.70957,0.066713,0.23271,0.12977,0.066713,785.64,0.46459,3.4882,0.066713,0.064998,36.122,0.93738,0.076868,0.052093,0.16936,0.70957,0.41838,0.79979,-0.09846,5.6687,0.27749,0.064998,108.87,3.3525,0.26813,0.076868,1.0386,NA,0.70957,0.074892,0.009351,0.065752,0.074892,73.293,37.171,0.52638,0.37395,38.575,0.010391,0.010124,0.72826,0.28668,0.29829,0.89681,0.89681,-36333,0.063596,0.075351,0.9364,0,10.105,9.8194,101.95,3.5802,1.2972,0
0.026841,0.58521,-0.11862,0.53836,-1542.1,0,0.026841,0.70879,2.4051,0.41479,0.035021,0.10446,0.01116,0.026841,7958.1,0.045865,1.7088,0.026841,0.01116,4.6453,0.94807,0.028949,0.01116,-0.038256,0.22443,0.045865,3.539,-0.13767,3.4706,0.22582,0.014561,45.722,8.0146,3.5191,0.007698,2.4051,1.3177,0.49654,0.003201,0.16609,0.67385,0.012036,14.517,9.8715,0.87687,0.41923,5.4251,0.028949,0.012036,0.23638,0.25696,0.12477,0.48138,0.57626,-350.58,0.14713,0.064709,0.85966,0.19709,78.574,36.975,38.995,9.3601,2.7912,0
0.002937,0.80712,-0.11237,0.8385,-270.24,0.068674,0.002937,0.13565,1.0715,0.10949,0.002937,0.004222,0.046324,0.002937,6894,0.052944,1.239,0.002937,0.003184,189.64,1.0582,0.065146,0.003184,0.068674,0.10949,0.052944,0.75667,-0.26972,4.7886,0.87421,0.003184,294.97,1.2374,0.080713,0.065146,0.93171,0.93495,0.22085,0.070621,0.036574,0.25286,0.070621,220.77,31.128,0.006128,0.14964,203.19,0.02535,0.027481,0.72281,0.69576,0.80813,0.26281,0.53012,-6905.7,0.066692,0.026827,0.93331,1.0171,1.9247,11.726,275.3,1.3258,2.2143,0
-0.21326,0.091238,0.22618,3.5482,18.627,0,-0.21326,9.9603,1.0223,0.90876,-0.2117,-2.4027,-0.10935,-0.21326,-297.88,-1.2253,10.96,-0.21326,-0.2086,55.724,0.68708,-0.21194,-0.2086,-0.47893,0.43928,-1.2253,-135.11,0.33016,4.0506,0.070734,-0.20783,25.746,14.177,13.792,-0.23603,1.0223,NA,0.90876,-0.23087,0.3286,-0.02753,-0.20731,102.03,46.305,-1.3664,1.7898,45.272,-0.31341,-0.30656,3.4518,0.088761,0.070537,1.3265,1.3265,2541.3,-0.23087,-0.23468,1.2027,0,6.5502,7.8825,31.69,11.518,1.4923,0
0.078239,0.47129,0.36954,2.7025,-4.8385,0.14918,0.098525,1.0121,1.1115,0.47699,0.098525,0.45392,0.12419,0.098525,1159.7,0.31475,2.1218,0.098525,0.082486,116.27,1.2437,0.11249,0.065502,0.1917,0.47699,0.27171,1.0468,0.89388,4.2712,0.34412,0.082486,73.721,4.9511,0.23869,0.11249,1.2155,0.81064,0.73123,0.094179,0.29059,0.095465,0.094179,159.98,43.705,0.20562,0.94951,129.23,0.062678,0.052474,1.2446,0.21706,0.20198,1.1538,1.7688,6900.2,0.1003,0.16403,0.8997,0.53301,3.1392,8.3515,66.327,5.503,2.8893,0
