"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
5.81,8.98,9.56,2.21,2.24,2.51,600.59,6.78,207.25,56.17,0.35,0.54,1.55,60.79,35.33,42.96,5.34,NA,0,90.46,-411.39,2.3,2.72,4.16,3.9,4.05,5.03,659.03,15.15,99.41,96.85,0.15,0.18,1.18,78.05,15.42,65.54,3.63,NA,0,137.14,-327.64,11.75,17.1,42.62,2.51,2.51,2.84,1320.5,1.49,407.38,135.6,0.31,0.46,1.46,51.15,31.3,51.11,6.07,NA,0,142.92,-138.37
2.63,8.57,2.82,0.03,0.27,0.8,391.01,64.63,2.45,145.01,0.69,2.26,3.26,19.05,69.32,26.3,0.7,NA,68.59,17.59,3192.42,3.85,10.8,5.69,0.49,0.54,1.05,538.61,15.22,6.77,151.45,0.64,1.81,2.81,12.09,64.37,27.97,0.84,NA,53.28,12.19,-95.82,2.8,13.99,NA,0.65,0.71,1.37,550.4,6.17,17.48,73.72,80,399.88,5,5.6,80,26.56,0.91,NA,17.24,0,0
2.98,9.28,8.96,0.5,0.65,0.72,1098.63,64.13,309.75,30.01,0.59,1.84,3.12,14.04,67.92,29.52,0.77,-9953.27,10.91,33.29,-69.04,0.36,1.13,1.38,0.33,0.73,0.86,1417.75,247.02,524.86,76.48,0.63,2,3.18,13.53,68.57,26.48,0.82,-9283.58,6.77,51.32,-83.45,-11.25,-34.66,-32.6,0.22,0.53,0.74,1054.72,167.89,494.4,116.59,0.68,2.08,3.08,4.26,67.54,16.57,0.79,NA,4.24,44.94,-116.24
-0.57,-1.09,-1.86,0,0.14,1.31,1190.18,23.21,133.22,198.81,0.31,0.59,1.91,14.55,47.59,29,0.85,NA,7.19,49.3,133.36,-0.23,-0.43,-0.8,0,0.22,1.09,1248.92,45.56,168.8,204.63,0.3,0.56,1.84,15.3,30.28,32.89,0.82,NA,5.38,38.12,100.16,1.51,2.8,4.6,0,0.17,0.96,1110.65,34.62,131.58,192.17,0.32,0.59,1.86,17.67,31.89,34.51,0.8,NA,10.15,35.43,87.7
0.03,0.22,0.26,0.8,112.07,112.07,2780.83,2723.1,24.47,0,0.84,5.4,6.4,0.03,84.39,0.04,NA,NA,0,0,0,0.04,0.3,0.46,0.47,105.62,105.62,3722.97,3665.82,34.86,0,0.85,5.68,6.68,0.04,85.02,0.05,NA,NA,0,0,0,0.79,5.23,1.83,0.56,155.08,155.08,843.54,827.17,5.35,NA,0.85,5.63,6.63,0.79,84.91,0.93,201.45,NA,0,0,0
16.64,47.78,47.67,1.27,1.27,1.92,1045.83,NA,210.44,139.62,0.65,1.87,2.87,36.5,65.18,66.76,1.31,5044,0,56.9,133.56,-1.48,-2.67,-4.19,1.93,1.93,4.55,1031.52,NA,80.57,213.99,0.45,0.8,1.8,27.7,44.53,61.2,1.44,3960,0,82.7,152.85,-3.38,-8.76,-16.12,1.18,1.18,1.18,1735.3,NA,418.35,NA,0.61,1.59,2.59,2.03,61.41,24.42,1.06,NA,0,25.79,-331.77
1.56,3.85,6.03,0.04,0.05,1.08,1414.92,6.9,646.76,675.82,0.6,1.47,2.48,10.76,59.61,11.76,1.08,13741.33,0,35.67,91.28,0.48,1.02,0.75,0.04,0.06,1.07,576.07,6.03,240.64,245.56,0.53,1.13,2.13,11.55,53.15,13.26,1.06,13196.44,0,17.53,99.64,0,0,0,0.27,0.51,4.59,699.41,17.75,73.09,297.86,0.55,1.22,2.22,12.86,54.86,12.09,1.72,NA,0,17.76,89.57
12.44,23.72,31440,1.66,1.66,1.66,922282,NA,432432,NA,0.48,0.91,1.91,12.44,47.54,26.17,2.5,NA,0,0,0,5.59,5.7,66.28,26.21,30.26,30.26,4319.27,360,88.96,NA,0.02,0.02,1.02,5.59,2.08,268.23,2.65,NA,0,0,0,-4.2,-4.36,-5870,17,17,17,508944.8,NA,18360,NA,0.04,0.04,1.04,-4.2,3.65,-115.1,2.54,NA,0,0,0
4.94,14.93,19.25,0.02,0.31,0.62,1423.19,114.11,109.08,125.16,0.47,1.41,3.03,10.26,66.94,22.76,0.58,20186.41,24.02,20.75,57.93,0.41,1.12,2.03,0.01,0.11,0.48,1800.88,44.79,188.34,176.03,0.44,1.19,2.73,6.15,63.35,17.59,0.59,8158.48,17.79,28.38,143.8,-0.98,-3.47,-7.02,0,0.47,0.74,2606.4,378.87,328.09,216.19,0.46,1.62,3.54,3.21,45.77,9.28,0.54,7748.19,22.96,21.58,1277.33
0.13,0.54,0.94,0.05,0.37,0.93,2594.4,455.93,301.98,817.28,0.58,2.36,4.05,0.9,75.33,50.03,0.56,-73342,44.31,5.48,-1.7,-0.05,-0.21,-1.11,6.76,5.24,13.07,7875.83,-379.01,249.43,1981.25,0.63,2.59,4.1,1.34,75.64,45.51,1.47,-78502,60.16,30.17,-2.9,2.84,14.75,44.82,0.01,0.31,0.44,5737.65,736.08,711.85,467.05,72.2,374.52,5.19,4.05,72.2,37.37,0.28,NA,52.54,14.69,-3.79
-34.13,91.73,-80.05,0.03,0.16,0.16,856.12,108.19,533.3,NA,1.37,-3.69,-2.69,-34.13,137.21,-11.37,0.08,NA,30.44,0,0,-3.6,24.51,-14.22,0.08,0.08,0.08,1438.98,2.59,1545.27,NA,1.15,-7.81,-6.81,-3.6,114.67,11.46,-0.1,NA,0,0,0,4.41,63.37,10.24,0.11,0.15,0.15,845.58,32.02,750.58,0.08,0.93,13.38,14.38,5.28,93.04,39.89,0.12,NA,0,2.03,3.13
0.19,0.31,2.1,1.62,1.91,2.43,4124.34,471.38,1617.11,858.28,0.4,0.66,1.66,0.75,39.76,0.47,17.87,NA,0,6.33,71.05,0.16,0.2,0.16,4.15,4.64,4.71,369.52,35.81,72.91,5.16,0.2,0.25,1.25,1.62,19.96,5.35,13.46,6418.67,0,1.48,52.29,0.13,0.15,0.34,5.8,6.05,6.06,953.78,34.46,134.09,0.6,0.14,0.17,1.17,1.4,14.23,7.86,6.19,NA,0,2.45,29.75
-0.1,-0.22,-0.2,1,1.76,1.76,434.47,324.5,424.58,NA,0.57,1.31,2.31,-0.1,56.73,-0.17,NA,NA,0,0,0,1.83,9.39,9.58,0.23,0.46,0.46,1907.69,347.26,1519.39,NA,0.81,4.14,5.14,1.83,80.53,18.07,0.31,NA,0,0,0,-2.57,-20.8,-4.13,0.31,0.76,0.76,585.63,226.04,507.75,NA,0.88,7.11,8.11,-2.57,87.67,13.59,0.37,NA,0,0,0
1.27,4.45,1.99,0.02,0.4,0.95,573.07,126.72,259.4,188.37,0.72,2.51,3.51,35.69,71.51,16.53,0.84,-1153.44,17.27,54.05,-606.11,-26.51,-264.55,-32.34,0.02,0.09,0.72,444.11,21.3,157.4,202.13,0.9,8.97,9.98,22.39,89.98,-14.67,0.42,-2217.25,43.72,59.66,-307.11,2.27,18.96,2.57,0.04,0.13,0.83,411.89,23.62,253.19,178.04,0.88,7.35,8.35,42.99,88.02,16.24,0.59,4962.94,5.94,33.21,-462.2
4.82,16.54,6.21,0.18,1.68,2.15,470.21,124.46,83.22,39.96,0.63,2.15,3.43,10.29,70.86,21.48,1.25,30689.37,32.97,7.05,39.1,5.01,16.62,7.32,0.02,0.97,2.12,531.87,82.97,77.24,100.42,0.62,2.07,3.31,11.28,69.83,23.31,1.21,32045.05,33.75,9.15,39.35,3.37,13.56,7.92,0.01,0.71,1.55,854.26,120.18,112.69,145.98,0.7,2.82,4.02,9.82,70.31,19.84,1.11,10882.85,33.82,10.83,49.37
-5.13,-121.83,-116.48,0.07,0.09,0.09,2997.9,93.38,7809.9,0,0.96,22.75,23.75,-5.13,95.79,-4.14,0.05,NA,0,0,0,4.49,49.89,7.21,0.06,0.09,0.09,584.65,17.3,520.52,0,0.91,10.11,11.11,4.49,91,10.16,0.1,NA,0,0,0,1.59,18.37,NA,0.09,0.22,0.22,1544.66,173.87,1383.56,0,0.91,10.54,11.54,1.59,91.34,5.81,0.11,NA,0,0,0
