"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
17.91,99.54,7.8,0.23,1.32,1.41,158.6,108.28,99.56,9.13,0.82,4.56,5.56,32.49,82.01,21.92,1.79,NA,0,6.35,35.09,9.03,57.71,9.05,0,1.14,1.15,365.52,344.34,303.88,2.29,0.84,5.39,6.39,18.5,84.35,11.23,4.65,13562.85,0,9.48,43.92,9.68,43.44,9.58,0.01,1.24,1.27,360.16,325.44,265.29,8.06,0.78,3.49,4.49,20.42,77.71,12.91,4.13,19382.92,0,10.62,43.28
5.22,11.34,4.2,1.32,2.23,2.43,292.73,108.21,118.88,24.44,0.54,1.17,2.17,5.84,53.93,9.69,NA,NA,12.72,0.5,7.16,-58.6,-166.27,-48.98,0.22,1.48,1.55,305.09,243.06,193.96,14.04,0.65,1.84,2.84,-57.5,64.76,-90.48,NA,-18646,0,0.92,-1.98,7.38,17.73,5.83,0.35,1.67,1.72,287.59,217.85,165.16,9.04,0.58,1.4,2.4,9.93,58.37,12.65,NA,3693,0,2.02,23.96
25.36,46.82,38.42,1.28,1.43,1.43,551.43,36.86,249.36,NA,0.46,0.85,1.85,29.92,45.83,79.7,1.58,NA,0,6.91,20.25,-8.33,-16.14,-37.95,1.12,1.3,1.4,1663.06,144.03,788.34,75.69,0.48,0.93,1.94,-1.3,48.4,-6.07,1.59,-2913,0,32.03,-271.92,-5.47,-11.1,-11.43,0.99,1.09,1.19,761.07,36.2,380.76,38.6,0.51,1.03,2.03,-2.51,50.75,1.1,1.26,9027,0,6.17,69.49
11.44,20.12,6.48,0,0.48,0.67,206.15,37.64,56.35,15.3,0.43,0.76,1.76,76.89,43.17,50.24,0.8,NA,10.94,37.07,72.29,5.05,8.82,2.73,0.01,0.54,0.7,197.01,27.49,29.54,8.39,0.43,0.75,1.75,78.62,42.74,37.91,0.87,18286.64,11.42,39.71,79.22,12.83,18.68,6,0.02,0.68,0.93,170.34,21.62,28.53,8.13,0.31,0.46,1.46,100.44,31.32,90.95,0.95,21447.25,2.31,41,72.8
5.57,19.42,4.96,0.29,0.63,1.39,323.85,63.46,186.18,143.58,0.71,2.48,3.49,39.25,71.31,21.1,2.23,20587.94,0,29.97,66.86,7.58,18.91,4.33,0.47,1.17,1.64,208.48,70.94,101.56,49.06,0.6,1.49,2.49,49.93,59.92,25.15,2.88,21934.22,0,24.19,69.65,3.86,8.65,3.37,0.38,0.96,1.82,317.28,77.3,134.59,118.23,0.55,1.24,2.24,49.73,55.39,22.41,2.61,20265.63,0,39.98,76.08
38.56,50.48,11.66,1.29,2.62,4.24,87.68,34.13,25.69,42.14,0.24,0.31,1.31,38.56,23.61,163.37,NA,NA,0,0,0,22.24,51.42,7.94,0.87,1.59,1.76,130.29,52.25,72.92,12.93,0.57,1.31,2.31,22.24,56.74,39.2,NA,NA,0,0,0,14.28,23.24,7.1,1.41,2.24,2.53,180.84,57.7,68.92,19.83,0.39,0.63,1.63,16.11,38.54,37.06,NA,8723,0,0.9,8.19
0.13,0.48,0.15,0.08,0.53,1.4,412.5,64.53,94.48,126.05,0.57,2.07,3.61,16.37,72.3,5.98,0.54,NA,11.68,18.4,365.51,0.13,0.51,0.17,0.06,0.41,1.4,485.18,67.05,156.07,193.39,0.61,2.4,3.91,14.99,74.4,5.47,0.59,NA,7.6,19.75,109.3,-0.04,-0.18,-0.06,0.04,0.53,1.28,552.31,140.57,250.2,215.94,0.69,3.35,4.83,8.68,79.32,3.61,0.63,5968.5,6.37,13.22,157.92
1.94,5.57,1.1,0.53,0.97,1.68,205.48,22.25,36.44,38.37,0.65,1.87,2.87,37.9,65.15,13.46,1.16,11519.89,27.05,20.3,70.61,1.77,4.76,0.94,0.11,0.95,1.73,193.77,40.14,38.52,38.18,0.63,1.69,2.69,34.9,62.77,13.72,1.15,8899.84,19.27,17.59,72.07,2.25,5.47,1.03,0.19,1.31,2.04,166.31,40.35,33.71,28.78,0.59,1.43,2.43,35.09,58.93,15.13,1.26,NA,14.61,15.01,67.15
5.49,25.51,5,0.07,1,1,331.57,92.24,98.58,0.35,0.78,3.64,4.65,15.19,78.5,18.55,1,NA,0,8.84,35.89,4.89,20.85,4.37,0.05,0.63,0.63,326.47,86.83,150.04,0.42,0.76,3.26,4.27,11.99,76.56,19.9,0.72,34204.29,0,6.35,27.15,-37.57,560.66,-23.18,0.01,0.61,0.61,224.57,87.76,142.14,0.27,1.07,-15.92,-14.92,-27.94,106.7,-18.09,0.27,29809.71,2.62,5.94,25.39
39.69,93.9,23.73,0.62,0.65,0.65,217.63,3.66,123.11,NA,0.57,1.35,2.37,65.38,57.73,95.12,0.67,NA,0,15.36,28.7,27.44,42.97,18.53,0.84,1.04,1.04,246.47,17.83,87.85,NA,0.36,0.57,1.57,68.64,36.14,118.53,1.02,16306.86,0,27.82,45.37,24.09,26.96,16.49,3.49,4.48,4.48,249.06,25.85,26.21,NA,0.11,0.12,1.12,66.75,10.64,457.34,1.71,18743,0,29.19,46.66
