"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
16.34,16.8,14.53,20.37,20.37,36.24,324.7,0,8.84,142.19,0.03,0.03,1.03,48.48,2.76,592.08,NA,NA,0,28.59,66.3,16.09,16.1,14.53,515.94,515.94,1016.75,328.85,NA,0.32,160.2,0,0,1,47.74,0.1,16356.25,NA,NA,0,20.46,47.45,7.87,31.31,4.4,0.3,0.37,1.34,203.63,10.36,150.76,145.52,0.75,2.98,3.98,21.48,74.86,10.51,NA,NA,0,5.02,41.03
-1.16,-11.12,-0.39,0.14,0.25,0.84,123.82,11.94,109.18,64.86,0.9,8.6,9.6,4.51,89.58,3.13,0.46,7619,0,1.92,47.54,4.16,24.39,1.49,0.1,0.2,1.04,130.23,11.16,106.8,91.41,0.83,4.86,5.86,19.83,82.94,22.79,1.48,3739.33,0,5.61,72.14,6.78,26.45,1.91,0.14,0.18,1.17,102.8,3.32,75.59,75.07,74.37,290.21,3.9,24.21,74.37,9.11,2.01,NA,0,4.92,59.46
-8.96,-9.22,-11.05,29,35.11,35.74,425.51,75.43,12.35,7.93,0.03,0.03,1.03,10.26,2.78,-322.14,NA,NA,0,23.7,91.78,14.06,16.87,2.16,5.19,6.04,6.1,56.05,7.62,9.03,0.56,0.17,0.2,1.2,106.13,16.66,84.38,NA,3779,0,14.18,80.5,-0.93,-2.99,-0.37,1.18,1.45,1.45,147.12,26.49,75.81,NA,0.69,2.23,3.23,57.55,69.01,-1.34,NA,NA,16.23,17.42,66.66
-1.23,152.85,-1.2,0,0.75,0.98,356.17,264.31,354.12,82.23,1.01,-124.92,-123.92,-1.23,100.81,-1.04,-0.61,NA,0,0,0,16.91,412.33,3.93,0.09,0.63,1.04,84.57,42.82,80,33.81,0.96,23.38,24.38,16.91,95.9,19.06,NA,NA,0,0,0,-8.14,202.54,-4.61,0,0.33,0.96,206.14,69.5,212.07,134.3,1.04,-25.88,-24.88,-8.14,104.02,-7.83,NA,NA,0,0,0
6.75,7.95,1.71,3.16,3.2,11.66,92.68,0.36,7.66,65.7,0.15,0.18,1.18,90.41,15.14,48.98,131.53,NA,0,21.24,83.8,6.29,7.75,1.77,0.46,0.52,5.99,102.37,0.81,13.96,77.41,0.19,0.23,1.23,90.52,18.8,40.34,5.33,NA,0,23.69,85.36,5.66,7.09,1.77,0.41,0.33,5.74,113.97,-1.36,15.34,82.93,0.2,0.25,1.25,81.42,20.13,56.64,3.73,NA,0,23.72,86.53
22.34,46.04,4.85,0.8,1.94,2.07,79.29,40.73,35.74,4.4,0.49,1.01,2.06,30.13,51.47,48.16,8.69,51286.33,0,1.69,19.36,16.95,31.21,4.26,1.32,1.96,2.34,91.41,21.94,34.3,13.33,0.46,0.84,1.84,26.01,45.68,41.96,4.87,56206.67,0,2.28,26.69,16.73,34.54,3.93,0.12,1.34,1.46,85.41,45.71,37.54,4.66,0.52,1.06,2.06,21.39,51.56,35.04,1.38,NA,0,1.09,16.55
NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,0,NA,NA,NA,NA,NA,67.71,141.43,NA,0.2,1.92,1.92,193.66,171.58,99.68,NA,0.52,1.09,2.09,101.79,52.13,129.9,NA,NA,0.08,13.43,20.58
2.78,-85.45,1.39,0.04,1.05,1.05,182.64,170.98,170.2,0.37,0.99,-30.47,-30.69,17.38,103.26,18.65,2.62,43453.2,4.11,7.31,40.39,2.38,-30.99,0.89,0.04,0.96,0.97,135.72,111.16,120.79,1.69,0.97,-12.67,-13,37.93,107.69,2.97,-0.52,19843.8,6.24,13.26,83.85,-1.41,13.01,-0.45,0.03,0.91,0.92,115.81,71.97,80.72,0.89,78.2,-719.85,-9.21,44.45,78.2,1.13,-0.63,NA,2.95,10.26,62.78
-8.52,40.99,-0.84,0.55,0.7,1.06,35.98,4.39,29.84,10.81,1.05,-5.06,-4.81,287.35,120.78,9.31,-1.7,6977.5,0,29.17,93.25,24.48,167.01,2.93,0.65,0.85,1.23,43.57,5.45,27.47,10.63,0.76,5.17,6.82,238.66,85.34,38.46,0.85,7175,0,25.64,82.99,16.96,58.87,NA,1.07,1.11,1.49,50.14,1.09,26.06,10.07,0.66,2.28,3.47,214.63,65.78,33.63,1.51,NA,0,19.31,60.39
25.96,95.1,3.23,-0.13,0.55,1.48,45.45,20.48,30.25,28.63,0.73,2.66,3.66,102.1,72.7,35.71,NA,12097,0,9.48,64.13,3.54,16.86,0.7,0.77,1.78,2.83,72.19,25.63,25.25,26.78,0.79,3.76,4.76,41.91,79,4.48,NA,7992.33,41.1,7.61,76.48,-1.82,-10.82,-0.46,-0.17,0.54,1.11,92.85,37.58,36.83,29.85,0.83,4.96,5.96,39.61,83.22,0.74,1.03,NA,17.39,10.57,78.62
13.9,81.07,1.73,0.04,0.06,1.17,45.47,0.87,35.15,39.55,0.83,4.83,5.83,77.49,82.86,22.36,3,24969.88,0,7.92,71.68,10.28,78.15,1.41,0.05,0.08,1.12,50.11,1.1,36.48,38.34,0.87,6.6,7.6,67.38,86.85,17.19,1.56,24460.25,12.12,7.86,74.17,-9.39,143.18,-1.35,NA,0.02,0.82,52.28,0.14,49.86,43.42,1.07,-16.24,-15.24,39.78,106.56,-2.96,-0.43,NA,9.07,4.99,66.89
6.15,13.07,3.51,0.07,0.36,1.21,208.15,30.5,57.82,90.78,0.53,1.13,2.13,30.69,52.95,19.05,1.25,16832.88,23.1,14,67.05,1.93,3.66,1.1,0.01,0.55,1.43,206.94,46.02,45.75,76.31,0.47,0.89,1.89,25.43,47.2,13.32,1.32,11027,19.25,13.36,80.56,2.28,4.42,1.26,0.15,0.58,1.55,200.61,37.26,60.72,83.08,0.48,0.94,1.94,22.62,48.48,15.06,1.59,NA,12.58,7.95,56.08
4.65,9.63,2.58,0.4,2.24,2.44,202.32,136.01,76.89,15.16,0.52,1.07,2.07,37.81,51.7,13.75,8.33,48989.6,0,18.38,73.76,4.52,10.68,2.99,0.67,1.93,2.05,240.98,133.77,112.45,13.56,0.58,1.36,2.36,31.68,57.64,11.16,13.03,44136.23,0,17.98,84.06,2.8,6.53,1.76,1.02,2.08,2.2,228.03,97.31,99.84,11.59,0.57,1.33,2.33,30.19,57.09,7.77,17.42,NA,0,13.23,57.78
10.88,70.99,1.19,1.16,1.85,1.85,40.02,14.36,20.81,0.01,0.85,5.52,6.52,10.88,84.67,14.74,18.45,NA,0,0,0,2.97,20.21,3.58,0.75,1.05,1.05,438.74,111.25,370.08,0.04,0.85,5.8,6.8,2.97,85.29,6.87,1.39,NA,0,0,0,0.97,4.08,0.61,0.35,1.16,1.16,230.95,140.95,156.71,0.05,0.76,3.21,4.21,0.97,76.27,8.04,2.12,NA,7.67,0,0
0.41,9.75,0.32,0.08,0.39,0.83,291.62,33.01,79.32,46.18,0.96,23.06,24.06,0.58,95.84,5.68,0.91,NA,66.73,0.14,1.53,2.17,34.91,1.61,0.14,0.51,0.93,269.78,39.02,77.44,45.63,0.94,15.08,16.08,2.75,93.78,8.89,0.97,NA,63.49,0.43,3.72,1.85,22.1,1.24,0.21,0.48,0.86,243.07,29.9,81.06,41.56,0.92,10.95,11.95,2.55,91.63,6.76,0.89,NA,56.95,0.35,4.21
-247.73,62.13,-231.62,0.2,0.2,0.2,341.26,NA,1678.66,NA,4.99,-1.25,-0.25,-247.73,498.73,-17.44,NA,NA,0,0,0,273.43,-176.12,88.45,0.39,0.39,0.39,117.75,NA,297.25,NA,2.55,-1.64,-0.64,273.43,255.25,107.12,NA,NA,0,0,0,98.11,-891.29,19.12,0.64,0.9,0.9,70.93,20.34,77.88,NA,1.11,-10.08,-9.08,98.11,111.01,88.38,NA,NA,0,0,0
-5.93,-5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.93,0,NA,NA,NA,0,NA,0,-0.53,-2.92,NA,0.23,0.23,1.22,NA,NA,NA,NA,0.82,4.51,5.51,-0.53,81.86,-0.65,NA,NA,0,NA,0,1.57,8.33,1.89,0.21,1.23,1.23,439.07,360.2,352.61,NA,0.81,4.32,5.32,1.57,81.2,1.93,NA,NA,0,0,0
